04/03/2017 18:42:11	10
04/03/2017 18:42:12	96
04/03/2017 18:42:13	14
04/03/2017 18:42:15	11
04/03/2017 18:42:15	97
04/03/2017 18:42:16	12
04/03/2017 18:42:18	13
04/03/2017 18:42:19	112
04/03/2017 18:42:19	11
04/03/2017 18:42:21	28
04/03/2017 18:42:21	95
04/03/2017 18:42:22	14
04/03/2017 18:42:23	12
04/03/2017 18:42:23	98
04/03/2017 18:42:24	14
04/03/2017 18:42:26	29
04/03/2017 18:42:27	99
04/03/2017 18:42:27	21
04/03/2017 18:42:30	12
04/03/2017 18:42:30	109
04/03/2017 18:42:31	14
04/03/2017 18:42:33	26
04/03/2017 18:42:33	92
04/03/2017 18:42:34	27
